dataset,angle_deg,calculation_angle_deg,experimental,fitted
Ni 3p,14.22,14.51743455125938,0.9918065214866089,0.9943933584444774
Ni 3p,14.26,14.557434551259378,1.0065552312196087,0.9976092363782814
Ni 3p,14.3,14.59743455125938,1.0134813502584963,0.9984358806118296
Ni 3p,14.34,14.637434551259378,1.0197277885929692,0.997531481913415
Ni 3p,14.38,14.67743455125938,0.9992763280117998,0.996479356817823
Ni 3p,14.42,14.717434551259378,1.0068795773363928,0.9966890003509644
Ni 3p,14.46,14.75743455125938,1.0082968646503485,0.9985280306668266
Ni 3p,14.5,14.797434551259379,1.0091965707741293,1.001203076037428
Ni 3p,14.540000000000001,14.83743455125938,1.0006568410394077,1.0033851431609553
Ni 3p,14.58,14.877434551259379,0.9920108270127792,1.0041113673284647
Ni 3p,14.620000000000001,14.91743455125938,1.0032698281841657,1.0033697550446743
Ni 3p,14.66,14.957434551259379,0.9932698605315627,1.0020275875239246
Ni 3p,14.7,14.997434551259378,1.0104304645877054,1.0012061271016002
Ni 3p,14.74,15.037434551259379,0.9996792125440475,1.0015452120428854
La 4d,12.42,12.717434551259378,1.000315438539003,0.9911137307377985
La 4d,12.459999999999999,12.757434551259378,1.0003516164073056,0.9895554376393678
La 4d,12.5,12.797434551259379,0.9976668620841721,0.989243599126157
La 4d,12.54,12.837434551259378,1.0025979529639593,0.9902646073922432
La 4d,12.58,12.877434551259379,0.9993669056858633,0.9918239176862105
La 4d,12.62,12.917434551259378,0.9996914500325781,0.9927639985032618
La 4d,12.66,12.957434551259379,1.0053692405037409,0.9923775123234586
La 4d,12.7,12.997434551259378,0.9995680549992916,0.9909561460468796
La 4d,12.74,13.037434551259379,1.00976353291965,0.9896631358481109
La 4d,12.78,13.077434551259378,1.0068232134757087,0.9897680520387634
La 4d,12.82,13.117434551259379,1.0013241783870055,0.9917410035601399
La 4d,12.86,13.157434551259378,1.002707528899462,0.9948434505124027
La 4d,12.9,13.197434551259379,1.007772182755014,0.9975509917172741
La 4d,12.94,13.237434551259378,1.0128703886520618,0.9985831566786837
La 4d,12.98,13.277434551259379,1.0085961272473924,0.9978675234131062
La 4d,13.02,13.317434551259378,1.0157379970175582,0.9967441640258603
La 4d,13.06,13.357434551259379,1.0182692790358332,0.9971755817402657
La 4d,13.1,13.397434551259378,1.0133936594306543,1.0004051025825174
